rows;cols;tableids
65015220;65015220;65015220
16538463;16538463;16538463
7164114;7164114;7164114
4783994;4783994;4783994
3492200;3492200;3492200
2452873;2452873;2452873
1955319;1955319;1955319
1539870;1539870;1539870
1164012;1164012;1164012
825267;825267;825267
571442;571442;571442
511732;511732;511732
430616;430616;430616
352747;352747;352747
331238;331238;331238
308114;308114;308114
285137;285137;285137
268111;268111;268111
252273;252273;252273
233273;233273;233273
220710;220710;220710
206534;206534;206534
195543;195543;195543
183581;183581;183581
173665;173665;173665
163483;163483;163483
158983;158983;158983
147043;147043;147043
139844;139844;139844
132226;132226;132226
126260;126260;126260
121109;121109;121109
114227;114227;114227
110720;110720;110720
108043;108043;108043
103596;103596;103596
100164;100164;100164
97572;97572;97572
97540;97540;97540
94009;94009;94009
80060;80060;80060
70894;70894;70894
64980;64980;64980
61148;61148;61148
61022;61022;61022
55578;55578;55578
50425;50425;50425
46264;46264;46264
45495;45495;45495
43542;43542;43542
41841;41841;41841
38324;38324;38324
35435;35435;35435
33418;33418;33418
32403;32403;32403
30813;30813;30813
28091;28091;28091
24709;24709;24709
23071;23071;23071
21825;21825;21825
19612;19612;19612
18313;18313;18313
13539;13539;13539
9763;9763;9763
8367;8367;8367
7863;7863;7863
8133;8133;8133
8004;8004;8004
7741;7741;7741
7554;7554;7554
7472;7472;7472
9132;9132;9132
12338;12338;12338
12859;12859;12859
9214;9214;9214
7153;7153;7153
6960;6960;6960
7520;7520;7520
7405;7405;7405
7308;7308;7308
6180;6180;6180
6052;6052;6052
6002;6002;6002
5868;5868;5868
5565;5565;5565
5455;5455;5455
5442;5442;5442
5148;5148;5148
5190;5190;5190
4845;4845;4845
4743;4743;4743
4849;4849;4849
4792;4792;4792
4452;4452;4452
4173;4173;4173
4158;4158;4158
4345;4345;4345
4293;4293;4293
4085;4085;4085
3966;3966;3966
4141;4141;4141
3772;3772;3772
3586;3586;3586
3537;3537;3537
3507;3507;3507
3842;3842;3842
3703;3703;3703
3400;3400;3400
3289;3289;3289
3183;3183;3183
2917;2917;2917
2691;2691;2691
2937;2937;2937
2758;2758;2758
2543;2543;2543
2562;2562;2562
2489;2489;2489
2559;2559;2559
2782;2782;2782
2611;2611;2611
2511;2511;2511
2430;2430;2430
2304;2304;2304
2178;2178;2178
2442;2442;2442
2377;2377;2377
2315;2315;2315
2189;2189;2189
2142;2142;2142
2087;2087;2087
1950;1950;1950
1993;1993;1993
1883;1883;1883
1828;1828;1828
1732;1732;1732
1665;1665;1665
1570;1570;1570
1523;1523;1523
1373;1373;1373
1456;1456;1456
1569;1569;1569
1480;1480;1480
1422;1422;1422
1378;1378;1378
1445;1445;1445
1463;1463;1463
1648;1648;1648
1652;1652;1652
1508;1508;1508
1485;1485;1485
1423;1423;1423
1395;1395;1395
1326;1326;1326
1253;1253;1253
1083;1083;1083
1125;1125;1125
1198;1198;1198
1247;1247;1247
1278;1278;1278
1280;1280;1280
1268;1268;1268
1245;1245;1245
1237;1237;1237
1199;1199;1199
1238;1238;1238
1269;1269;1269
1193;1193;1193
1134;1134;1134
1023;1023;1023
1084;1084;1084
1211;1211;1211
1269;1269;1269
1183;1183;1183
1076;1076;1076
1134;1134;1134
1122;1122;1122
1063;1063;1063
1064;1064;1064
967;967;967
923;923;923
937;937;937
968;968;968
939;939;939
910;910;910
965;965;965
930;930;930
961;961;961
942;942;942
904;904;904
960;960;960
967;967;967
893;893;893
822;822;822
755;755;755
799;799;799
844;844;844
907;907;907
855;855;855
880;880;880
873;873;873
967;967;967
878;878;878
828;828;828
849;849;849
988;988;988
883;883;883
818;818;818
962;962;962
980;980;980
908;908;908
887;887;887
900;900;900
891;891;891
977;977;977
890;890;890
875;875;875
937;937;937
915;915;915
923;923;923
927;927;927
868;868;868
773;773;773
785;785;785
911;911;911
1026;1026;1026
892;892;892
930;930;930
984;984;984
939;939;939
918;918;918
897;897;897
821;821;821
752;752;752
799;799;799
799;799;799
770;770;770
749;749;749
800;800;800
890;890;890
925;925;925
818;818;818
784;784;784
754;754;754
782;782;782
761;761;761
732;732;732
786;786;786
704;704;704
705;705;705
783;783;783
808;808;808
787;787;787
903;903;903
928;928;928
856;856;856
98214;98214;98214
