rows;cols;tableids
186019936;1432808119;12488
136764945;71413440;10472
110168061;19108704;14234
94735989;9746520;17864
82640301;6123871;17578
72365881;4806077;20548
55965217;3868125;16311
46490755;3166886;9959
40579847;2865500;12122
35868872;2480950;15796
32458864;1995576;18469
30090719;1922754;18876
26833452;1839062;20724
23852130;1711899;18465
22014706;1551648;17171
20376119;1427488;11968
19013427;1299913;14795
17745904;1254923;16731
16846343;1137072;18194
15893243;844240;18546
15231425;573421;19294
14471923;482138;15478
13752196;438418;19668
13158364;404490;20449
12261854;381220;10120
11678416;342788;12606
11340491;303450;15565
11014504;270579;16478
10630513;259150;18117
10373723;255210;18876
10103706;211498;15961
9776474;204297;19943
9513216;200449;19910
8611542;198660;20845
6284772;198118;19591
6085553;197487;10131
5901453;196442;14894
5698415;193344;14817
5508628;188262;16390
5394424;186348;17787
5267178;183609;13143
5144612;181841;16401
5000629;180382;17886
4901848;180058;17490
4812069;179196;18480
4702663;178716;18282
4504514;175963;20361
4415832;174343;10021
4314575;174246;12430
4238847;173836;13233
4069455;173712;14619
3920158;170952;16115
3774890;170739;13061
3568061;170363;18579
3454140;169447;17765
3273225;169000;18326
3199444;168655;20108
3122233;167980;11099
3058637;167762;11671
3006286;167736;13827
2957361;167474;14168
2906686;166854;17116
2659180;166782;16467
2445167;166528;11199
2379701;114625;17369
2347593;114624;18106
2316795;114429;18139
2293466;114198;19107
2263480;114192;19525
2236524;113977;18172
2210370;110740;9020
2187630;110642;10549
2162235;110640;13959
2133979;110604;15004
2113564;110544;16137
2089285;110544;14729
2064150;110544;17226
2041244;110544;18909
2018455;110184;19844
1995499;110055;20174
1975394;109600;15686
1954906;109600;9372
1933399;109600;10835
1913576;109552;12936
1891323;109552;13717
1869620;109552;15818
1849717;109552;15906
1831932;109504;17666
1814411;91474;19283
1796187;77426;20460
1777148;77286;18843
1757743;77256;8833
1739103;77093;12496
1721902;76818;13321
1703074;76752;14454
1686966;76750;15565
1670285;76736;10189
1649595;76708;1780
1629556;76680;1135
1610704;67649;3246
1588918;60656;13911
1569951;60620;18469
1552743;60592;18458
1538388;60592;20647
1523577;60592;13310
1494948;60592;9559
1479964;60582;11220
1464563;60576;13695
1449339;60576;14399
1434380;60576;16511
1420516;60556;15092
1406586;60376;25032
1392711;60352;16775
1379199;60352;18161
1366232;60331;18524
1354352;60304;20053
1342810;60304;18964
1331462;60303;8668
1318102;60288;11616
1305683;60258;12419
1293206;59682;14344
1281227;59520;14597
1269654;59520;16383
1257136;59520;20790
1241908;59520;21604
1218157;59456;16599
1206758;59456;9449
1195891;59456;12408
1184693;59363;13222
1173855;59344;17017
1159286;59344;16940
1147076;59344;18004
1134851;59344;17019
1123613;59344;8613
1112292;59344;12353
1101448;59344;12760
1090242;59344;16126
1079880;59344;18348
1070747;59344;19635
1061186;59344;10308
1051000;59344;11429
1040094;59200;14564
1028007;58768;17864
1017155;58768;20251
1007679;58768;15959
998268;58768;14772
988316;58768;11748
978962;58768;13893
970086;58768;17314
961906;58768;18821
952185;58768;16830
943455;58768;9615
935164;37576;13024
927400;2235;16588
917143;1858;17754
908892;1664;18447
897176;1664;9510
888997;1664;14190
880299;1664;16478
863030;1664;21032
854628;1662;12801
846012;1648;11473
836069;1648;15224
827924;1648;18766
818289;1648;19485
810696;1648;6964
804066;1648;12287
796891;1648;16885
789124;1648;21373
782137;1648;20120
775532;1076;9519
768369;914;12407
762348;864;13244
753740;864;15367
746154;864;18700
737823;864;19195
729413;864;35221
720760;864;72438
712076;864;41619
704747;804;12723
692870;704;4524
684380;704;9381
674957;704;12434
666704;694;4958
658892;672;10758
651774;672;15389
644299;672;16104
635654;564;20372
627156;528;20053
619670;528;9993
613228;528;11627
606908;528;15444
601129;528;18403
594573;528;19591
588724;528;14255
581656;528;8811
574390;528;11638
567197;528;14795
561223;528;18073
554486;528;18931
547923;528;19134
542307;510;16450
535386;496;28929
527960;483;10080
522172;465;14883
516344;432;17729
509566;432;8288
504196;432;13551
499389;432;6637
494211;402;5206
490291;384;12652
485376;384;15965
480702;384;16294
475946;384;13610
470462;384;9802
464847;384;7735
460031;384;17568
455518;384;17776
450445;384;22272
444851;348;13765
440309;320;20968
434517;320;19408
429966;320;19120
425865;320;15818
421326;320;13851
416891;320;14020
411164;320;5936
406360;320;8410
400524;320;4763
396818;320;4933
392649;320;21610
388697;320;19474
384253;320;39534
379790;320;7035
375607;320;9276
371259;320;21656
366982;320;34162
357897;320;13774
354364;320;11009
350137;320;2812
345144;320;13017
341238;320;1517
336398;320;365
332433;320;540
329039;320;430
325314;320;465
321454;320;160
317718;320;284
314616;320;180
311289;320;375
306228;320;405
302931;320;845
299081;320;805
295269;320;730
291680;320;635
19354252;9820;1584243632
