rows;cols;tableids
0;0;0
30981034;690106040;3552
25834680;323276430;1652
46542452;254530460;750
82661770;164895189;6534
136764945;71413440;10472
204904050;28855224;32098
257462154;17964959;64396
232074709;15794877;133591
213292506;8662807;270821
145715693;5705284;506212
109308872;5281734;959167
83412585;1525354;1789396
19045548;9500;312178
20300;0;638666
0;0;17803075
0;0;13456558
0;0;2286816
0;0;126551783
0;0;327025269
0;0;514883446
0;0;581284866
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
