rows;cols;tableids
186019936;186019936;186019936
136764945;136764945;136764945
110168061;110168061;110168061
94735989;94735989;94735989
82640301;82640301;82640301
72365881;72365881;72365881
55965217;55965217;55965217
46490755;46490755;46490755
40579847;40579847;40579847
35868872;35868872;35868872
32458864;32458864;32458864
30090719;30090719;30090719
26833452;26833452;26833452
23852130;23852130;23852130
22014706;22014706;22014706
20376119;20376119;20376119
19013427;19013427;19013427
17745904;17745904;17745904
16846343;16846343;16846343
15893243;15893243;15893243
15231425;15231425;15231425
14471923;14471923;14471923
13752196;13752196;13752196
13158364;13158364;13158364
12261854;12261854;12261854
11678416;11678416;11678416
11340491;11340491;11340491
11014504;11014504;11014504
10630513;10630513;10630513
10373723;10373723;10373723
10103706;10103706;10103706
9776474;9776474;9776474
9513216;9513216;9513216
8611542;8611542;8611542
6284772;6284772;6284772
6085553;6085553;6085553
5901453;5901453;5901453
5698415;5698415;5698415
5508628;5508628;5508628
5394424;5394424;5394424
5267178;5267178;5267178
5144612;5144612;5144612
5000629;5000629;5000629
4901848;4901848;4901848
4812069;4812069;4812069
4702663;4702663;4702663
4504514;4504514;4504514
4415832;4415832;4415832
4314575;4314575;4314575
4238847;4238847;4238847
4069455;4069455;4069455
3920158;3920158;3920158
3774890;3774890;3774890
3568061;3568061;3568061
3454140;3454140;3454140
3273225;3273225;3273225
3199444;3199444;3199444
3122233;3122233;3122233
3058637;3058637;3058637
3006286;3006286;3006286
2957361;2957361;2957361
2906686;2906686;2906686
2659180;2659180;2659180
2445167;2445167;2445167
2379701;2379701;2379701
2347593;2347593;2347593
2316795;2316795;2316795
2293466;2293466;2293466
2263480;2263480;2263480
2236524;2236524;2236524
2210370;2210370;2210370
2187630;2187630;2187630
2162235;2162235;2162235
2133979;2133979;2133979
2113564;2113564;2113564
2089285;2089285;2089285
2064150;2064150;2064150
2041244;2041244;2041244
2018455;2018455;2018455
1995499;1995499;1995499
1975394;1975394;1975394
1954906;1954906;1954906
1933399;1933399;1933399
1913576;1913576;1913576
1891323;1891323;1891323
1869620;1869620;1869620
1849717;1849717;1849717
1831932;1831932;1831932
1814411;1814411;1814411
1796187;1796187;1796187
1777148;1777148;1777148
1757743;1757743;1757743
1739103;1739103;1739103
1721902;1721902;1721902
1703074;1703074;1703074
1686966;1686966;1686966
1670285;1670285;1670285
1649595;1649595;1649595
1629556;1629556;1629556
1610704;1610704;1610704
1588918;1588918;1588918
1569951;1569951;1569951
1552743;1552743;1552743
1538388;1538388;1538388
1523577;1523577;1523577
1494948;1494948;1494948
1479964;1479964;1479964
1464563;1464563;1464563
1449339;1449339;1449339
1434380;1434380;1434380
1420516;1420516;1420516
1406586;1406586;1406586
1392711;1392711;1392711
1379199;1379199;1379199
1366232;1366232;1366232
1354352;1354352;1354352
1342810;1342810;1342810
1331462;1331462;1331462
1318102;1318102;1318102
1305683;1305683;1305683
1293206;1293206;1293206
1281227;1281227;1281227
1269654;1269654;1269654
1257136;1257136;1257136
1241908;1241908;1241908
1218157;1218157;1218157
1206758;1206758;1206758
1195891;1195891;1195891
1184693;1184693;1184693
1173855;1173855;1173855
1159286;1159286;1159286
1147076;1147076;1147076
1134851;1134851;1134851
1123613;1123613;1123613
1112292;1112292;1112292
1101448;1101448;1101448
1090242;1090242;1090242
1079880;1079880;1079880
1070747;1070747;1070747
1061186;1061186;1061186
1051000;1051000;1051000
1040094;1040094;1040094
1028007;1028007;1028007
1017155;1017155;1017155
1007679;1007679;1007679
998268;998268;998268
988316;988316;988316
978962;978962;978962
970086;970086;970086
961906;961906;961906
952185;952185;952185
943455;943455;943455
935164;935164;935164
927400;927400;927400
917143;917143;917143
908892;908892;908892
897176;897176;897176
888997;888997;888997
880299;880299;880299
863030;863030;863030
854628;854628;854628
846012;846012;846012
836069;836069;836069
827924;827924;827924
818289;818289;818289
810696;810696;810696
804066;804066;804066
796891;796891;796891
789124;789124;789124
782137;782137;782137
775532;775532;775532
768369;768369;768369
762348;762348;762348
753740;753740;753740
746154;746154;746154
737823;737823;737823
729413;729413;729413
720760;720760;720760
712076;712076;712076
704747;704747;704747
692870;692870;692870
684380;684380;684380
674957;674957;674957
666704;666704;666704
658892;658892;658892
651774;651774;651774
644299;644299;644299
635654;635654;635654
627156;627156;627156
619670;619670;619670
613228;613228;613228
606908;606908;606908
601129;601129;601129
594573;594573;594573
588724;588724;588724
581656;581656;581656
574390;574390;574390
567197;567197;567197
561223;561223;561223
554486;554486;554486
547923;547923;547923
542307;542307;542307
535386;535386;535386
527960;527960;527960
522172;522172;522172
516344;516344;516344
509566;509566;509566
504196;504196;504196
499389;499389;499389
494211;494211;494211
490291;490291;490291
485376;485376;485376
480702;480702;480702
475946;475946;475946
470462;470462;470462
464847;464847;464847
460031;460031;460031
455518;455518;455518
450445;450445;450445
444851;444851;444851
440309;440309;440309
434517;434517;434517
429966;429966;429966
425865;425865;425865
421326;421326;421326
416891;416891;416891
411164;411164;411164
406360;406360;406360
400524;400524;400524
396818;396818;396818
392649;392649;392649
388697;388697;388697
384253;384253;384253
379790;379790;379790
375607;375607;375607
371259;371259;371259
366982;366982;366982
357897;357897;357897
354364;354364;354364
350137;350137;350137
345144;345144;345144
341238;341238;341238
336398;336398;336398
332433;332433;332433
329039;329039;329039
325314;325314;325314
321454;321454;321454
317718;317718;317718
314616;314616;314616
311289;311289;311289
306228;306228;306228
302931;302931;302931
299081;299081;299081
295269;295269;295269
291680;291680;291680
19354252;19354252;19354252
