rows;cols;tableids
4610957701;7746453789;13474
1051435869;435897655;8899
487331501;84483452;7762
301723100;32558487;4422
224901365;13027690;10788
174500874;2102753;3535
131936895;0;5949
104653249;0;4919
87685679;0;5246
75417417;0;3049
64654947;0;700
57896210;0;640
50488437;0;1090
43692773;0;5617
40385659;0;3079
37282142;0;3491
34182237;0;1249
32059214;0;753
29739011;0;2927
27902008;0;1277
26434277;0;1563
25026139;0;1038
23766677;0;1059
22633192;0;13885
21596475;0;2712
20516237;0;3764
19632842;0;4950
18701849;0;1314
17784910;0;2074
16997788;0;4382
16368056;0;29262
12518635;0;1421
11173276;0;1704
10749165;0;2549
10321002;0;1715
9962720;0;2308
9645509;0;2795
9360575;0;4093
9042270;0;1260
8760499;0;586
8412547;0;1539
8076283;0;221
7783093;0;186
7555039;0;158
7354338;0;166
7089534;0;945
6846566;0;1275
6638261;0;237
6471823;0;634
6304258;0;924
6134163;0;885
5953757;0;981
5779057;0;6959
5638111;0;560
5515736;0;560
5398218;0;560
5247788;0;525
5070112;0;636
4942215;0;456
4842200;0;1506
4730016;0;1336
4624336;0;810
4129804;0;558
3523819;0;1398
3405130;0;984
3337469;0;660
3267266;0;324
3201579;0;908
3140476;0;420
3081819;0;522
3029983;0;606
2983977;0;690
2938973;0;420
2882781;0;582
2822904;0;624
2770239;0;1182
2724026;0;624
2680576;0;972
2637090;0;652
2592094;0;445
2534444;0;574
2480447;0;3947
2434793;0;4172
2290785;0;6067
2051146;0;178
2004475;0;128
1971291;0;128
1935323;0;128
1899538;0;128
1801138;0;128
1710384;0;128
1683227;0;128
1657840;0;128
1628758;0;590
1597176;0;1052
1571743;0;473
1548558;0;605
1524900;0;805
1497912;0;907
1406119;0;935
1312759;0;815
1286124;0;981
1261192;0;854
1239459;0;801
1216358;0;2085
1194996;0;172
1177197;0;445
1157904;0;128
1138921;0;128
1116896;0;520
1095485;0;200
1066132;0;132
1041190;0;192
1023516;0;179
1009619;0;395
995458;0;565
983339;0;458
969920;0;136
955097;0;158
941033;0;130
927409;0;128
914723;0;1241
899903;0;174
886619;0;326
875267;0;129
848539;0;128
836362;0;128
822868;0;155
810400;0;164
798194;0;433
787266;0;124
775614;0;160
765127;0;122
755109;0;554
744588;0;604
733715;0;394
723062;0;1220
712513;0;1310
703465;0;2089
693199;0;2395
682110;0;128
669380;0;128
658244;0;128
650517;0;197
633762;0;931
623022;0;457
615148;0;494
607236;0;2714
599071;0;215
591316;0;183
584037;0;466
577102;0;361
570182;0;212
562837;0;134
555813;0;757
549491;0;135
540026;0;1622
533080;0;200
526293;0;148
517757;0;1412
511288;0;327
503655;0;499
496729;0;215
490287;0;254
484156;0;137
478060;0;177
471521;0;1909
465664;0;2873
459972;0;597
453957;0;238
447039;0;212
439598;0;207
432249;0;496
427717;0;681
421348;0;128
415336;0;658
410787;0;569
405419;0;284
394729;0;156
388128;0;1105
380203;0;225
374547;0;1648
370969;0;143
367701;0;145
363584;0;1141
359314;0;141
355521;0;148
348245;0;220
341424;0;231
337856;0;129
334972;0;128
332296;0;133
328314;0;870
325157;0;222
321796;0;248
317441;0;283
312825;0;193
309669;0;1627
306287;0;119
302767;0;160
299647;0;1897
296762;0;536
293594;0;244
290200;0;1249
286728;0;977
284002;0;339
278437;0;1307
273761;0;270
270394;0;160
266850;0;160
264800;0;418
262317;0;1372
258840;0;2642
253588;0;714
250477;0;2489
247702;0;883
244960;0;364
242211;0;224
239208;0;287
236033;0;625
234340;0;1270
232322;0;1966
229528;0;300
226898;0;326
224189;0;623
221437;0;909
219210;0;240
217327;0;232
215720;0;200
213866;0;186
211579;0;608
209622;0;638
207801;0;1124
205468;0;1406
204005;0;662
202255;0;1296
200933;0;532
199384;0;296
197882;0;939
196296;0;911
193929;0;389
192104;0;483
190619;0;844
189349;0;482
187339;0;1024
184949;0;226
183048;0;254
180872;0;160
178963;0;160
176915;0;160
174330;0;102
171292;0;439
169387;0;447
167457;0;815
165072;0;1661
17770306;0;8314202750
