rows;cols;tableids
62334551;62334551;62334551
15422088;15422088;15422088
6182862;6182862;6182862
4112954;4112954;4112954
2795886;2795886;2795886
1623292;1623292;1623292
1181773;1181773;1181773
899522;899522;899522
725809;725809;725809
545715;545715;545715
395550;395550;395550
362189;362189;362189
295034;295034;295034
232030;232030;232030
217432;217432;217432
204132;204132;204132
189104;189104;189104
180100;180100;180100
172243;172243;172243
160418;160418;160418
152642;152642;152642
142351;142351;142351
131442;131442;131442
123839;123839;123839
115430;115430;115430
107970;107970;107970
105613;105613;105613
101428;101428;101428
96360;96360;96360
90534;90534;90534
87570;87570;87570
86751;86751;86751
81618;81618;81618
79513;79513;79513
77304;77304;77304
73729;73729;73729
72727;72727;72727
72287;72287;72287
72481;72481;72481
72158;72158;72158
68006;68006;68006
63230;63230;63230
59747;59747;59747
57815;57815;57815
58242;58242;58242
54317;54317;54317
49994;49994;49994
46498;46498;46498
44269;44269;44269
41484;41484;41484
38672;38672;38672
35887;35887;35887
32264;32264;32264
29800;29800;29800
28393;28393;28393
26518;26518;26518
23288;23288;23288
19013;19013;19013
18054;18054;18054
17258;17258;17258
14716;14716;14716
13439;13439;13439
10834;10834;10834
8623;8623;8623
7650;7650;7650
7366;7366;7366
7056;7056;7056
6706;6706;6706
6372;6372;6372
6104;6104;6104
6079;6079;6079
8134;8134;8134
11479;11479;11479
11637;11637;11637
7905;7905;7905
5748;5748;5748
5803;5803;5803
6046;6046;6046
6138;6138;6138
6333;6333;6333
5158;5158;5158
5225;5225;5225
5177;5177;5177
4662;4662;4662
4579;4579;4579
4288;4288;4288
4054;4054;4054
4159;4159;4159
4340;4340;4340
4099;4099;4099
4032;4032;4032
3829;3829;3829
4007;4007;4007
3868;3868;3868
3733;3733;3733
3627;3627;3627
3667;3667;3667
3523;3523;3523
3545;3545;3545
3533;3533;3533
3394;3394;3394
3390;3390;3390
3384;3384;3384
3288;3288;3288
3470;3470;3470
3342;3342;3342
3260;3260;3260
3120;3120;3120
3111;3111;3111
2901;2901;2901
2625;2625;2625
2668;2668;2668
2779;2779;2779
2823;2823;2823
2828;2828;2828
2683;2683;2683
2705;2705;2705
2535;2535;2535
2583;2583;2583
2429;2429;2429
2362;2362;2362
2343;2343;2343
2342;2342;2342
2386;2386;2386
2396;2396;2396
2324;2324;2324
2052;2052;2052
2033;2033;2033
2054;2054;2054
2167;2167;2167
2141;2141;2141
2157;2157;2157
2012;2012;2012
2044;2044;2044
1601;1601;1601
1546;1546;1546
1512;1512;1512
1508;1508;1508
1420;1420;1420
1463;1463;1463
1479;1479;1479
1386;1386;1386
1373;1373;1373
1381;1381;1381
1254;1254;1254
1246;1246;1246
1308;1308;1308
1332;1332;1332
1234;1234;1234
1249;1249;1249
1241;1241;1241
1267;1267;1267
1258;1258;1258
1099;1099;1099
1121;1121;1121
1154;1154;1154
1201;1201;1201
1146;1146;1146
1229;1229;1229
1146;1146;1146
1202;1202;1202
1141;1141;1141
1194;1194;1194
1217;1217;1217
1194;1194;1194
1216;1216;1216
1229;1229;1229
1135;1135;1135
1175;1175;1175
1137;1137;1137
1163;1163;1163
1156;1156;1156
1093;1093;1093
1029;1029;1029
1039;1039;1039
961;961;961
929;929;929
905;905;905
821;821;821
841;841;841
825;825;825
836;836;836
841;841;841
882;882;882
856;856;856
818;818;818
824;824;824
882;882;882
844;844;844
867;867;867
879;879;879
898;898;898
875;875;875
880;880;880
870;870;870
878;878;878
824;824;824
846;846;846
885;885;885
910;910;910
942;942;942
930;930;930
953;953;953
927;927;927
974;974;974
915;915;915
901;901;901
923;923;923
920;920;920
935;935;935
938;938;938
942;942;942
932;932;932
926;926;926
896;896;896
842;842;842
837;837;837
904;904;904
932;932;932
880;880;880
853;853;853
826;826;826
766;766;766
822;822;822
831;831;831
816;816;816
848;848;848
838;838;838
774;774;774
727;727;727
720;720;720
735;735;735
731;731;731
769;769;769
747;747;747
743;743;743
718;718;718
684;684;684
699;699;699
755;755;755
737;737;737
765;765;765
709;709;709
684;684;684
713;713;713
708;708;708
703;703;703
714;714;714
724;724;724
767;767;767
738;738;738
762;762;762
801;801;801
812;812;812
778;778;778
85054;85054;85054
