rows;cols;tableids
54274999;54274999;54274999
13118580;13118580;13118580
4808038;4808038;4808038
2963193;2963193;2963193
2113959;2113959;2113959
1373982;1373982;1373982
1055997;1055997;1055997
815695;815695;815695
653839;653839;653839
521216;521216;521216
402154;402154;402154
372534;372534;372534
308556;308556;308556
244423;244423;244423
230060;230060;230060
213867;213867;213867
197718;197718;197718
188304;188304;188304
176702;176702;176702
163853;163853;163853
156725;156725;156725
145223;145223;145223
134562;134562;134562
127128;127128;127128
119614;119614;119614
111341;111341;111341
108952;108952;108952
100533;100533;100533
96655;96655;96655
91281;91281;91281
88119;88119;88119
86424;86424;86424
81477;81477;81477
80794;80794;80794
80349;80349;80349
78023;78023;78023
76243;76243;76243
75436;75436;75436
74251;74251;74251
73112;73112;73112
70577;70577;70577
66165;66165;66165
60522;60522;60522
57432;57432;57432
57644;57644;57644
54118;54118;54118
52309;52309;52309
51185;51185;51185
50430;50430;50430
48414;48414;48414
46752;46752;46752
43951;43951;43951
41396;41396;41396
40141;40141;40141
39854;39854;39854
39229;39229;39229
37904;37904;37904
33592;33592;33592
31882;31882;31882
31086;31086;31086
29102;29102;29102
27789;27789;27789
16658;16658;16658
7817;7817;7817
6881;6881;6881
6508;6508;6508
6575;6575;6575
6471;6471;6471
6187;6187;6187
6151;6151;6151
6243;6243;6243
8001;8001;8001
11537;11537;11537
11987;11987;11987
8817;8817;8817
6791;6791;6791
6647;6647;6647
7036;7036;7036
6875;6875;6875
6718;6718;6718
5592;5592;5592
5367;5367;5367
5288;5288;5288
4856;4856;4856
4743;4743;4743
4718;4718;4718
4504;4504;4504
4211;4211;4211
4165;4165;4165
3924;3924;3924
3838;3838;3838
3779;3779;3779
3880;3880;3880
3757;3757;3757
3572;3572;3572
3406;3406;3406
3326;3326;3326
3297;3297;3297
3097;3097;3097
3155;3155;3155
3275;3275;3275
3037;3037;3037
2908;2908;2908
2772;2772;2772
2739;2739;2739
2825;2825;2825
2660;2660;2660
2587;2587;2587
2537;2537;2537
2402;2402;2402
2284;2284;2284
2226;2226;2226
2240;2240;2240
2042;2042;2042
1920;1920;1920
1837;1837;1837
1930;1930;1930
1966;1966;1966
1962;1962;1962
1933;1933;1933
1899;1899;1899
1920;1920;1920
1836;1836;1836
1787;1787;1787
1809;1809;1809
1810;1810;1810
1767;1767;1767
1696;1696;1696
1620;1620;1620
1569;1569;1569
1602;1602;1602
1591;1591;1591
1559;1559;1559
1543;1543;1543
1492;1492;1492
1517;1517;1517
1483;1483;1483
1465;1465;1465
1359;1359;1359
1434;1434;1434
1359;1359;1359
1331;1331;1331
1361;1361;1361
1344;1344;1344
1339;1339;1339
1351;1351;1351
1354;1354;1354
1326;1326;1326
1213;1213;1213
1168;1168;1168
1147;1147;1147
1129;1129;1129
1128;1128;1128
1054;1054;1054
1087;1087;1087
1099;1099;1099
1048;1048;1048
1012;1012;1012
1085;1085;1085
1009;1009;1009
1010;1010;1010
1016;1016;1016
976;976;976
965;965;965
1000;1000;1000
1025;1025;1025
993;993;993
1041;1041;1041
1086;1086;1086
1041;1041;1041
1067;1067;1067
1079;1079;1079
1072;1072;1072
1054;1054;1054
1019;1019;1019
957;957;957
928;928;928
875;875;875
789;789;789
850;850;850
782;782;782
799;799;799
813;813;813
762;762;762
770;770;770
726;726;726
722;722;722
735;735;735
749;749;749
798;798;798
783;783;783
759;759;759
754;754;754
788;788;788
815;815;815
802;802;802
791;791;791
805;805;805
833;833;833
772;772;772
758;758;758
787;787;787
794;794;794
795;795;795
809;809;809
816;816;816
757;757;757
818;818;818
816;816;816
800;800;800
809;809;809
864;864;864
871;871;871
898;898;898
869;869;869
815;815;815
806;806;806
827;827;827
804;804;804
783;783;783
811;811;811
785;785;785
796;796;796
836;836;836
891;891;891
842;842;842
842;842;842
807;807;807
810;810;810
810;810;810
837;837;837
869;869;869
787;787;787
795;795;795
785;785;785
802;802;802
771;771;771
726;726;726
723;723;723
742;742;742
750;750;750
772;772;772
734;734;734
699;699;699
721;721;721
748;748;748
734;734;734
693;693;693
763;763;763
773;773;773
784;784;784
785;785;785
843;843;843
844;844;844
822;822;822
94588;94588;94588
