rows;cols;tableids
15815385;15815385;15815385
4660136;4660136;4660136
2455055;2455055;2455055
1684476;1684476;1684476
1303130;1303130;1303130
1071426;1071426;1071426
926835;926835;926835
817666;817666;817666
730121;730121;730121
656596;656596;656596
582815;582815;582815
523385;523385;523385
440316;440316;440316
364980;364980;364980
326767;326767;326767
298261;298261;298261
268503;268503;268503
244476;244476;244476
227218;227218;227218
211278;211278;211278
200514;200514;200514
187957;187957;187957
177909;177909;177909
168192;168192;168192
162368;162368;162368
152289;152289;152289
146296;146296;146296
134727;134727;134727
110906;110906;110906
100361;100361;100361
96327;96327;96327
83388;83388;83388
75839;75839;75839
71557;71557;71557
67399;67399;67399
65437;65437;65437
63440;63440;63440
61094;61094;61094
57557;57557;57557
55412;55412;55412
52904;52904;52904
51585;51585;51585
50043;50043;50043
47582;47582;47582
45536;45536;45536
45293;45293;45293
42635;42635;42635
40908;40908;40908
39578;39578;39578
37655;37655;37655
36691;36691;36691
37128;37128;37128
35638;35638;35638
34261;34261;34261
33835;33835;33835
33249;33249;33249
32159;32159;32159
30514;30514;30514
30192;30192;30192
29644;29644;29644
28775;28775;28775
28173;28173;28173
28418;28418;28418
26813;26813;26813
24542;24542;24542
23813;23813;23813
23468;23468;23468
22703;22703;22703
22134;22134;22134
22255;22255;22255
21974;21974;21974
21688;21688;21688
21239;21239;21239
20844;20844;20844
20352;20352;20352
19600;19600;19600
18656;18656;18656
18256;18256;18256
17850;17850;17850
17454;17454;17454
16655;16655;16655
16088;16088;16088
15733;15733;15733
15498;15498;15498
14967;14967;14967
14800;14800;14800
14381;14381;14381
14067;14067;14067
13747;13747;13747
13244;13244;13244
12500;12500;12500
12323;12323;12323
11790;11790;11790
11245;11245;11245
10707;10707;10707
10573;10573;10573
10528;10528;10528
10377;10377;10377
9698;9698;9698
9479;9479;9479
9476;9476;9476
9407;9407;9407
9360;9360;9360
8902;8902;8902
8812;8812;8812
8688;8688;8688
8570;8570;8570
8350;8350;8350
8039;8039;8039
7872;7872;7872
7528;7528;7528
7261;7261;7261
7111;7111;7111
6659;6659;6659
6260;6260;6260
6104;6104;6104
6021;6021;6021
6053;6053;6053
6103;6103;6103
5932;5932;5932
5865;5865;5865
5843;5843;5843
5685;5685;5685
5530;5530;5530
5575;5575;5575
5275;5275;5275
4958;4958;4958
4788;4788;4788
4476;4476;4476
4299;4299;4299
4133;4133;4133
4072;4072;4072
4055;4055;4055
4124;4124;4124
4272;4272;4272
4256;4256;4256
4389;4389;4389
4333;4333;4333
4212;4212;4212
4286;4286;4286
4210;4210;4210
4045;4045;4045
3893;3893;3893
3835;3835;3835
3744;3744;3744
3709;3709;3709
3618;3618;3618
3481;3481;3481
3511;3511;3511
3445;3445;3445
3351;3351;3351
3305;3305;3305
3282;3282;3282
3214;3214;3214
3139;3139;3139
3021;3021;3021
3103;3103;3103
2951;2951;2951
2977;2977;2977
2981;2981;2981
3014;3014;3014
3110;3110;3110
3189;3189;3189
3204;3204;3204
3061;3061;3061
3096;3096;3096
3062;3062;3062
2990;2990;2990
2787;2787;2787
2576;2576;2576
2523;2523;2523
2464;2464;2464
2507;2507;2507
2504;2504;2504
2376;2376;2376
2588;2588;2588
2485;2485;2485
2551;2551;2551
2266;2266;2266
2227;2227;2227
1900;1900;1900
1725;1725;1725
1512;1512;1512
1550;1550;1550
1672;1672;1672
1576;1576;1576
1639;1639;1639
1601;1601;1601
1508;1508;1508
1611;1611;1611
1577;1577;1577
1544;1544;1544
1441;1441;1441
1526;1526;1526
1652;1652;1652
1569;1569;1569
1707;1707;1707
1656;1656;1656
1464;1464;1464
1390;1390;1390
1306;1306;1306
1758;1758;1758
2069;2069;2069
1969;1969;1969
2000;2000;2000
1986;1986;1986
1465;1465;1465
1162;1162;1162
1090;1090;1090
1081;1081;1081
1088;1088;1088
1044;1044;1044
996;996;996
923;923;923
916;916;916
882;882;882
767;767;767
699;699;699
732;732;732
710;710;710
740;740;740
724;724;724
760;760;760
782;782;782
742;742;742
715;715;715
656;656;656
665;665;665
673;673;673
682;682;682
617;617;617
621;621;621
683;683;683
624;624;624
652;652;652
693;693;693
647;647;647
708;708;708
651;651;651
553;553;553
603;603;603
606;606;606
571;571;571
510;510;510
502;502;502
468;468;468
529;529;529
535;535;535
454;454;454
462;462;462
531;531;531
536;536;536
533;533;533
541;541;541
473;473;473
58786;58786;58786
