rows;cols;tableids
6320277;524347873;5304
5679540;74591103;3088
5108831;53731448;46667
4434723;18814680;97411
4321891;9342869;7490
4254688;6865977;11517
4199901;6688827;12988
4164863;5598091;177326
4136143;5408988;99123
4099239;5331374;8174603
4033309;5273895;83609
3964484;5239638;66949
3897249;4120944;17408
3834421;3892096;8307
3727264;3892096;368735
3612809;2514730;17441855
3536610;1935376;4682391
3419730;1935127;3103863
3337637;1931472;22473596
2912639;1931472;1174499
2757874;1931472;9489920
2618845;1931472;21745
2466786;1931472;28098
2347976;1931472;9647
2314810;1931472;97111
2296662;1931472;10106
2261805;1931472;51503
2085956;1931472;838072
1375580;1931472;23046
1336353;1931472;38274
1308449;1931472;54908
1265722;1931472;35024
1218643;1931472;10167
1155634;1931472;13337
1099567;1931472;5364
1046502;1931472;25820
1012523;1931472;9121
992480;1931472;8437
976426;737652;7729
970511;21360;6118
938861;21360;7649
933681;21360;39235
931660;21360;2590
924001;21360;32507
912242;21360;28544
879660;21360;442589
860032;21360;1794656
845095;21360;2733
840409;21360;716072
837874;21360;5743
815206;21360;469455
794931;21360;449349
766902;21360;1149015
739260;21360;278560
721143;21360;1342713
714840;21360;5174988
713001;21360;712247
686067;21360;1233006
677894;21360;1228500
668859;21360;158312
648473;21360;730387
631253;21360;719816
616981;21360;582080
610965;21360;352917
584132;21360;1228430
564838;21360;203952
553044;21360;37040
544678;21360;257708
524409;21360;908
501519;21360;46910
499766;21360;10457
484376;21360;6208
478803;21360;6060
478408;21360;19814
471568;21360;11627
467499;21360;5809
460269;21360;12685
449310;21360;11458
431562;21360;951189
409662;21360;530563
391798;21360;244092
363906;21360;76073
352098;21360;149109
348103;21360;104167
342910;21360;45039
315480;21360;36322
287892;21360;41352
284597;21360;26832
284029;21360;5315
277778;21360;7280
210239;21360;7775
203863;21360;6431
198607;21360;6082
197799;21360;5539
197762;21360;4275
197609;21360;6558
196693;21360;6917
195986;21360;6143
195897;21360;6057
195128;21360;7829
192615;21360;47240
192225;21360;97122
191499;21360;75692
190762;21360;560918
190418;21360;82476
190223;21360;8664
189842;21360;2086
189525;21360;4497
189418;21360;4704
189072;21360;2055
188775;21360;6810
188574;21360;20020
188367;21360;3954
188190;21360;26712
187658;21360;588636
187462;21360;48196
187221;21360;22735
187204;21360;636720
186115;21360;150022
185752;21360;6653065
185208;21360;1868905
184719;21360;2097467
184643;21360;244621
184610;21360;99215
184571;21360;387263
184442;21360;79103
184432;21360;106904
184035;21360;78304
183102;21360;83020
182887;21360;114126
182692;21360;90602
182589;21360;358480
182594;21360;495468
182558;21360;284045
182483;21360;61751
182050;21360;152260
181575;21360;718099
181036;21360;85865
180240;21360;125386
179833;21360;100515
179082;21360;118582
178052;21360;70826
176357;21360;68326
175682;21360;2248799
175480;21360;638263
175373;21360;527467
174908;21360;454940
174793;21360;207320
174710;21360;27464
174574;21360;179961
174363;21360;3366541
174221;21360;3079537
174056;21360;2630
173843;21360;1620
173807;21360;2630
173558;21360;2600
172386;21360;2100
171860;21360;2630
170313;21360;2100
170138;21360;3095
168974;21360;2130
167979;21360;2630
167833;21360;2690
167633;21360;3404
166818;21360;3060
166593;21360;3090
166603;21360;3633
166572;21360;3060
166275;21360;3498
166257;21360;3528
165991;21360;3528
165431;21360;4140
164840;21360;3744
164480;21360;3330
163969;21360;27820
163172;21360;5833
162389;21360;4056
161949;21360;3078
161387;21360;4518
160669;21360;6322
160081;21360;5654
160068;21360;4871
160005;21360;4624
159486;21360;5260
159344;21360;6388
159153;21360;4682
159002;21360;5820
158884;21360;5002
158882;21360;5081
158718;21360;4736
158714;21360;8510
158642;21360;31899
158635;21360;43554
158106;21360;36542
158041;21360;43534
157840;21360;41453
157764;21360;42886
157670;21360;38648
157602;21360;41581
156658;21360;34544
156303;21360;35197
156236;21360;39258
156089;21360;38278
155865;21360;43298
155813;21360;287507
155599;21360;37382
155371;21360;43380
155268;21360;41090
154993;21360;24052
154815;21360;10801
154488;21360;9639
154183;21360;9848
153899;21360;8420
153641;21360;8734
153570;21360;8982
153274;21360;8482
153279;21360;9252
153270;21360;8788
152701;21360;10174
152061;21360;9494
149741;21360;10195
149719;21360;10088
149611;21360;10713
149568;21360;10427
149564;21360;10940
149529;21360;17842
149051;21360;17804
148891;21360;15544
148841;21360;13858
148781;21360;13082
148776;21360;12920
148746;21360;11214
148748;21360;12146
148460;21360;15688
147765;21360;13788
147450;21360;12222
147247;21360;3893
147164;21360;2562
147141;21360;3086
146942;21360;2358
146902;21360;5810
146656;21360;18535
146453;21360;9088
146368;21360;7672
146362;21360;6970
146294;21360;5672
146136;21360;4680
146139;21360;5194
146143;21360;4796
146022;21360;5128
145967;21360;5583
145954;21360;5466
145901;21360;6000
145896;21360;5950
145860;21360;6038
626510888;16424950;680088467
