rows;cols;tableids
0;0;0
853801;124889852;888
818390;117569773;2076
1600526;199075358;1672
3047560;82812890;668
5679540;74591103;3088
9543554;72546128;144078
16941343;28495764;209321
31304918;35673761;26260589
37643434;30911111;42131803
27181576;12860484;17739756
18399594;1367040;18144111
20551505;2734080;15210785
30777764;5468160;45636564
36501763;10935430;600227803
54039081;0;34217732
68381752;0;0
64999605;0;0
74751273;0;0
53065794;0;0
52869660;0;0
41388387;0;0
67359754;0;0
78770600;0;0
3459760;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
