rows;cols;tableids
6320277;6320277;6320277
5679540;5679540;5679540
5108831;5108831;5108831
4434723;4434723;4434723
4321891;4321891;4321891
4254688;4254688;4254688
4199901;4199901;4199901
4164863;4164863;4164863
4136143;4136143;4136143
4099239;4099239;4099239
4033309;4033309;4033309
3964484;3964484;3964484
3897249;3897249;3897249
3834421;3834421;3834421
3727264;3727264;3727264
3612809;3612809;3612809
3536610;3536610;3536610
3419730;3419730;3419730
3337637;3337637;3337637
2912639;2912639;2912639
2757874;2757874;2757874
2618845;2618845;2618845
2466786;2466786;2466786
2347976;2347976;2347976
2314810;2314810;2314810
2296662;2296662;2296662
2261805;2261805;2261805
2085956;2085956;2085956
1375580;1375580;1375580
1336353;1336353;1336353
1308449;1308449;1308449
1265722;1265722;1265722
1218643;1218643;1218643
1155634;1155634;1155634
1099567;1099567;1099567
1046502;1046502;1046502
1012523;1012523;1012523
992480;992480;992480
976426;976426;976426
970511;970511;970511
938861;938861;938861
933681;933681;933681
931660;931660;931660
924001;924001;924001
912242;912242;912242
879660;879660;879660
860032;860032;860032
845095;845095;845095
840409;840409;840409
837874;837874;837874
815206;815206;815206
794931;794931;794931
766902;766902;766902
739260;739260;739260
721143;721143;721143
714840;714840;714840
713001;713001;713001
686067;686067;686067
677894;677894;677894
668859;668859;668859
648473;648473;648473
631253;631253;631253
616981;616981;616981
610965;610965;610965
584132;584132;584132
564838;564838;564838
553044;553044;553044
544678;544678;544678
524409;524409;524409
501519;501519;501519
499766;499766;499766
484376;484376;484376
478803;478803;478803
478408;478408;478408
471568;471568;471568
467499;467499;467499
460269;460269;460269
449310;449310;449310
431562;431562;431562
409662;409662;409662
391798;391798;391798
363906;363906;363906
352098;352098;352098
348103;348103;348103
342910;342910;342910
315480;315480;315480
287892;287892;287892
284597;284597;284597
284029;284029;284029
277778;277778;277778
210239;210239;210239
203863;203863;203863
198607;198607;198607
197799;197799;197799
197762;197762;197762
197609;197609;197609
196693;196693;196693
195986;195986;195986
195897;195897;195897
195128;195128;195128
192615;192615;192615
192225;192225;192225
191499;191499;191499
190762;190762;190762
190418;190418;190418
190223;190223;190223
189842;189842;189842
189525;189525;189525
189418;189418;189418
189072;189072;189072
188775;188775;188775
188574;188574;188574
188367;188367;188367
188190;188190;188190
187658;187658;187658
187462;187462;187462
187221;187221;187221
187204;187204;187204
186115;186115;186115
185752;185752;185752
185208;185208;185208
184719;184719;184719
184643;184643;184643
184610;184610;184610
184571;184571;184571
184442;184442;184442
184432;184432;184432
184035;184035;184035
183102;183102;183102
182887;182887;182887
182692;182692;182692
182589;182589;182589
182594;182594;182594
182558;182558;182558
182483;182483;182483
182050;182050;182050
181575;181575;181575
181036;181036;181036
180240;180240;180240
179833;179833;179833
179082;179082;179082
178052;178052;178052
176357;176357;176357
175682;175682;175682
175480;175480;175480
175373;175373;175373
174908;174908;174908
174793;174793;174793
174710;174710;174710
174574;174574;174574
174363;174363;174363
174221;174221;174221
174056;174056;174056
173843;173843;173843
173807;173807;173807
173558;173558;173558
172386;172386;172386
171860;171860;171860
170313;170313;170313
170138;170138;170138
168974;168974;168974
167979;167979;167979
167833;167833;167833
167633;167633;167633
166818;166818;166818
166593;166593;166593
166603;166603;166603
166572;166572;166572
166275;166275;166275
166257;166257;166257
165991;165991;165991
165431;165431;165431
164840;164840;164840
164480;164480;164480
163969;163969;163969
163172;163172;163172
162389;162389;162389
161949;161949;161949
161387;161387;161387
160669;160669;160669
160081;160081;160081
160068;160068;160068
160005;160005;160005
159486;159486;159486
159344;159344;159344
159153;159153;159153
159002;159002;159002
158884;158884;158884
158882;158882;158882
158718;158718;158718
158714;158714;158714
158642;158642;158642
158635;158635;158635
158106;158106;158106
158041;158041;158041
157840;157840;157840
157764;157764;157764
157670;157670;157670
157602;157602;157602
156658;156658;156658
156303;156303;156303
156236;156236;156236
156089;156089;156089
155865;155865;155865
155813;155813;155813
155599;155599;155599
155371;155371;155371
155268;155268;155268
154993;154993;154993
154815;154815;154815
154488;154488;154488
154183;154183;154183
153899;153899;153899
153641;153641;153641
153570;153570;153570
153274;153274;153274
153279;153279;153279
153270;153270;153270
152701;152701;152701
152061;152061;152061
149741;149741;149741
149719;149719;149719
149611;149611;149611
149568;149568;149568
149564;149564;149564
149529;149529;149529
149051;149051;149051
148891;148891;148891
148841;148841;148841
148781;148781;148781
148776;148776;148776
148746;148746;148746
148748;148748;148748
148460;148460;148460
147765;147765;147765
147450;147450;147450
147247;147247;147247
147164;147164;147164
147141;147141;147141
146942;146942;146942
146902;146902;146902
146656;146656;146656
146453;146453;146453
146368;146368;146368
146362;146362;146362
146294;146294;146294
146136;146136;146136
146139;146139;146139
146143;146143;146143
146022;146022;146022
145967;145967;145967
145954;145954;145954
145901;145901;145901
145896;145896;145896
145860;145860;145860
626510888;626510888;626510888
