rows;cols;tableids
3008950;3008950;3008950
2522239;2522239;2522239
2062345;2062345;2062345
1489534;1489534;1489534
1408574;1408574;1408574
1371039;1371039;1371039
1347242;1347242;1347242
1332126;1332126;1332126
1316556;1316556;1316556
1305184;1305184;1305184
1293374;1293374;1293374
1281966;1281966;1281966
1273951;1273951;1273951
1252535;1252535;1252535
1233394;1233394;1233394
1226081;1226081;1226081
1221221;1221221;1221221
1215219;1215219;1215219
1209521;1209521;1209521
1203361;1203361;1203361
1199840;1199840;1199840
1196999;1196999;1196999
1194744;1194744;1194744
1180874;1180874;1180874
1173084;1173084;1173084
1170713;1170713;1170713
1167908;1167908;1167908
1013178;1013178;1013178
318697;318697;318697
312582;312582;312582
311460;311460;311460
307231;307231;307231
304662;304662;304662
303773;303773;303773
298977;298977;298977
296223;296223;296223
295364;295364;295364
293718;293718;293718
292105;292105;292105
289565;289565;289565
284714;284714;284714
282330;282330;282330
281011;281011;281011
279484;279484;279484
274285;274285;274285
248780;248780;248780
247262;247262;247262
246483;246483;246483
245810;245810;245810
245232;245232;245232
244297;244297;244297
243016;243016;243016
237544;237544;237544
234674;234674;234674
232929;232929;232929
232772;232772;232772
232593;232593;232593
232347;232347;232347
229802;229802;229802
229112;229112;229112
227635;227635;227635
223759;223759;223759
222335;222335;222335
221954;221954;221954
219424;219424;219424
217282;217282;217282
216431;216431;216431
215278;215278;215278
214197;214197;214197
213444;213444;213444
212976;212976;212976
212733;212733;212733
212400;212400;212400
212174;212174;212174
211720;211720;211720
211424;211424;211424
209503;209503;209503
203967;203967;203967
203620;203620;203620
203360;203360;203360
203342;203342;203342
203041;203041;203041
202520;202520;202520
202453;202453;202453
201176;201176;201176
199707;199707;199707
199548;199548;199548
199144;199144;199144
198750;198750;198750
197516;197516;197516
135008;135008;135008
134260;134260;134260
133709;133709;133709
133441;133441;133441
133454;133454;133454
133444;133444;133444
133313;133313;133313
133133;133133;133133
133133;133133;133133
132751;132751;132751
130349;130349;130349
130075;130075;130075
129875;129875;129875
129834;129834;129834
129688;129688;129688
129525;129525;129525
129280;129280;129280
129079;129079;129079
129071;129071;129071
129021;129021;129021
128996;128996;128996
128972;128972;128972
128973;128973;128973
128788;128788;128788
128342;128342;128342
128266;128266;128266
128064;128064;128064
128043;128043;128043
126959;126959;126959
126619;126619;126619
126480;126480;126480
126374;126374;126374
126311;126311;126311
126278;126278;126278
126253;126253;126253
126163;126163;126163
126151;126151;126151
126104;126104;126104
125861;125861;125861
125809;125809;125809
125630;125630;125630
125526;125526;125526
125518;125518;125518
125511;125511;125511
125508;125508;125508
125078;125078;125078
124699;124699;124699
124275;124275;124275
123528;123528;123528
123161;123161;123161
122439;122439;122439
121600;121600;121600
119904;119904;119904
119354;119354;119354
119313;119313;119313
119262;119262;119262
119057;119057;119057
119035;119035;119035
119014;119014;119014
118923;118923;118923
118909;118909;118909
118909;118909;118909
118906;118906;118906
118906;118906;118906
118902;118902;118902
118644;118644;118644
117471;117471;117471
116938;116938;116938
115396;115396;115396
115351;115351;115351
114386;114386;114386
113452;113452;113452
113435;113435;113435
113420;113420;113420
113092;113092;113092
112889;112889;112889
112893;112893;112893
112895;112895;112895
112904;112904;112904
112911;112911;112911
112912;112912;112912
112897;112897;112897
112898;112898;112898
112905;112905;112905
112869;112869;112869
112605;112605;112605
112602;112602;112602
112534;112534;112534
112100;112100;112100
111709;111709;111709
111446;111446;111446
111428;111428;111428
111425;111425;111425
110910;110910;110910
110860;110860;110860
110716;110716;110716
110653;110653;110653
110612;110612;110612
110612;110612;110612
110576;110576;110576
110571;110571;110571
110567;110567;110567
110571;110571;110571
110139;110139;110139
110137;110137;110137
110131;110131;110131
110137;110137;110137
110135;110135;110135
110143;110143;110143
109241;109241;109241
108936;108936;108936
108939;108939;108939
108907;108907;108907
108681;108681;108681
108650;108650;108650
108549;108549;108549
108430;108430;108430
108365;108365;108365
108224;108224;108224
108050;108050;108050
107721;107721;107721
107475;107475;107475
107306;107306;107306
107166;107166;107166
107126;107126;107126
106878;106878;106878
106895;106895;106895
106888;106888;106888
106317;106317;106317
105683;105683;105683
103407;103407;103407
103398;103398;103398
103356;103356;103356
103346;103346;103346
103357;103357;103357
103357;103357;103357
103357;103357;103357
103358;103358;103358
103348;103348;103348
103358;103358;103358
103360;103360;103360
103354;103354;103354
103356;103356;103356
103068;103068;103068
102416;102416;102416
102394;102394;102394
102275;102275;102275
102220;102220;102220
102197;102197;102197
101998;101998;101998
101982;101982;101982
101760;101760;101760
101557;101557;101557
101472;101472;101472
101466;101466;101466
101398;101398;101398
101240;101240;101240
101243;101243;101243
101247;101247;101247
101247;101247;101247
101247;101247;101247
101246;101246;101246
101245;101245;101245
101241;101241;101241
101207;101207;101207
201879748;201879748;201879748
