cells;bytes;build_duration_nanosec;build_duration_total_nanosec;retr_duration_avg_nanosec;algorithm;table
111646122;6515617368;6785947403;16728711583;41;baseline;cocoa_main_tokenized
101492750;6411359752;6391986886;18461250324;42;baseline;cocoa_main_tokenized
84581252;6237543088;5740836012;21134315870;42;baseline;cocoa_main_tokenized
56388044;3263662456;3589242120;23088991436;44;baseline;cocoa_main_tokenized
28191693;1631810264;1816405059;19497452179;42;baseline;cocoa_main_tokenized
112772902;6527183776;6825105638;24061463965;46;baseline;cocoa_main_tokenized
111646034;165214880;6903595185;23887371323;1032;dedup_btree;cocoa_main_tokenized
101490576;152697216;7328576564;25922805445;1713;dedup_btree;cocoa_main_tokenized
84578650;131515840;7636550027;28473991711;957;dedup_btree;cocoa_main_tokenized
56391852;93839944;5792423385;26602578273;898;dedup_btree;cocoa_main_tokenized
28196465;52184664;2922032808;21146808534;717;dedup_btree;cocoa_main_tokenized
112772902;166478944;5471907216;25133233942;1046;dedup_btree;cocoa_main_tokenized
763118;155407776;7492214074;27209808681;241;dedup_hash;cocoa_main_tokenized
716011;147099768;7583844338;27761603299;262;dedup_hash;cocoa_main_tokenized
632789;133231568;7689352692;29529094300;238;dedup_hash;cocoa_main_tokenized
477920;108916664;5351872257;26320280704;354;dedup_hash;cocoa_main_tokenized
288699;54885256;2911245311;21146314556;208;dedup_hash;cocoa_main_tokenized
768260;156062264;5308812780;24640669409;247;dedup_hash;cocoa_main_tokenized
111642921;124781496;6246534054;17044641013;371;ns;cocoa_main_tokenized
101493605;120040664;7778563670;25220567530;416;ns;cocoa_main_tokenized
84582884;112096320;8251176989;28692961360;397;ns;cocoa_main_tokenized
56385988;98077064;6005520419;25882794608;345;ns;cocoa_main_tokenized
28187031;49850400;3325515432;21079034722;313;ns;cocoa_main_tokenized
112772902;125102016;6190886378;28985212078;490;ns;cocoa_main_tokenized
1572138366;147042424464;92648583244;476207259765;616;baseline;gittables_main_tokenized
1429224379;141484711552;87012814154;475733656694;686;baseline;gittables_main_tokenized
1191005814;132218746256;79099174382;469115503507;646;baseline;gittables_main_tokenized
794023671;73828156696;48875009210;452377621157;559;baseline;gittables_main_tokenized
396998510;36916791448;25103336686;394933585156;455;baseline;gittables_main_tokenized
1588021298;147660296856;92651545437;404113970352;635;baseline;gittables_main_tokenized
1429214715;38882707544;147077216044;577278923559;3113;dedup_btree;gittables_main_tokenized
1190980888;33590236416;135572777792;563362847178;3127;dedup_btree;gittables_main_tokenized
794046960;24317008296;102835997499;518449334667;2948;dedup_btree;gittables_main_tokenized
397001587;13694486112;57709969451;420087095715;2781;dedup_btree;gittables_main_tokenized
1588021298;42180820864;128995117730;431698462755;3241;dedup_btree;gittables_main_tokenized
97115491;39273215560;147933610857;465127039331;804;dedup_hash;gittables_main_tokenized
93513711;36575172944;145686363720;476861516119;817;dedup_hash;gittables_main_tokenized
86370971;32040694248;140990495535;509265736367;826;dedup_hash;gittables_main_tokenized
70140435;24482143784;112719889328;485565146165;860;dedup_hash;gittables_main_tokenized
45309761;12678140904;63496041273;418587598216;720;dedup_hash;gittables_main_tokenized
97488581;39465081216;131440875374;350124221578;890;dedup_hash;gittables_main_tokenized
1429217797;23113552848;192964327701;353057745505;965;ns;gittables_main_tokenized
1191053820;21059947224;178237706208;388635370195;944;ns;gittables_main_tokenized
794007241;17540186160;154979963585;442749146339;948;ns;gittables_main_tokenized
396999350;9223339456;85841090510;403482986668;901;ns;gittables_main_tokenized
1588021298;24430942472;207878096790;398862161376;982;ns;gittables_main_tokenized
91372806;6330477056;5973246036;16868468747;42;baseline;main_tokenized
76143406;6170038488;5408076874;20378184660;43;baseline;main_tokenized
50766223;3218718576;3346452046;20659606542;42;baseline;main_tokenized
25390072;1609418952;1696586178;17438508860;43;baseline;main_tokenized
101529655;6437239336;6378374174;20769718241;49;baseline;main_tokenized
91376794;152800328;7324223963;25957842353;1004;dedup_btree;main_tokenized
76146258;131626520;7136810262;26218562832;939;dedup_btree;main_tokenized
50769888;93548136;5349529030;24966737924;1086;dedup_btree;main_tokenized
25376559;52126456;2643159001;18684991598;704;dedup_btree;main_tokenized
101529655;166429000;5067268022;21251294329;1039;dedup_btree;main_tokenized
716202;146941176;6406764829;23915688326;229;dedup_hash;main_tokenized
633336;132872488;6623035596;26245090799;261;dedup_hash;main_tokenized
477887;109101472;5155316551;24364439568;228;dedup_hash;main_tokenized
288205;55242576;2457928235;19113037727;215;dedup_hash;main_tokenized
768260;156109256;4932183370;16239791259;237;dedup_hash;main_tokenized
78928553;6230695480;5484882892;15924323235;44;baseline;main_tokenized_embedding
65777276;3402701536;3946064689;18646404608;43;baseline;main_tokenized_embedding
43841332;3163164472;3041064355;17544549354;43;baseline;main_tokenized_embedding
21918502;1581582200;1545110678;15158965262;43;baseline;main_tokenized_embedding
87700361;6326642168;5782670421;20029626037;43;baseline;main_tokenized_embedding
78934930;152893784;6933155710;23913198609;981;dedup_btree;main_tokenized_embedding
65771006;131455152;5761336893;22679584435;957;dedup_btree;main_tokenized_embedding
43845661;93771376;4496922544;20263515080;926;dedup_btree;main_tokenized_embedding
21923951;52268344;2277022597;15835963312;698;dedup_btree;main_tokenized_embedding
87700361;166427032;4461884028;23911786527;1015;dedup_btree;main_tokenized_embedding
716017;147044728;6674949522;23429902518;233;dedup_hash;main_tokenized_embedding
632925;133002008;5846528094;23351463289;234;dedup_hash;main_tokenized_embedding
476924;108798048;4464449939;19727347752;228;dedup_hash;main_tokenized_embedding
288176;55129640;2335664598;15434106128;217;dedup_hash;main_tokenized_embedding
768260;156264016;4322645045;23550767138;237;dedup_hash;main_tokenized_embedding
78934121;120007688;5198295923;16617399920;365;ns;main_tokenized_embedding
65770060;111991336;6473527009;22880827224;356;ns;main_tokenized_embedding
43852482;98206312;4525596208;19807252235;343;ns;main_tokenized_embedding
21925110;49888680;2411239528;15636883065;314;ns;main_tokenized_embedding
87700361;125152840;4701746123;25360229133;379;ns;main_tokenized_embedding
91377039;119934792;7544943315;25811493318;430;ns;main_tokenized
76146320;111994480;7433287497;26754444631;406;ns;main_tokenized
50766924;98114528;5296878685;22990903269;338;ns;main_tokenized
25382909;50031576;2967825771;18560842503;337;ns;main_tokenized
101529655;125220552;5725530048;26164517412;396;ns;main_tokenized
34066418;2684354560;2553216688;8315742711;26;baseline;mate_main_tokenized
